"timestamp","hotdog.is.sandwich","reason","undergrad.or.grad","major","year","state.or.country"
2024-01-18 14:18:57,"no","if you asked for a sandwich and someone gave you a hotdog you’d be confused","undergraduate","systems engineering","fourth year","virginia"
2024-01-18 14:19:43,"no",NA,"graduate",NA,NA,NA
2024-01-18 14:20:51,"no","society doesn’t view it that way","undergraduate","computer science","third year","united states"
2024-01-18 14:21:09,"no","if a sandwich has meat in it, it is sliced. a hot dog's wiener is not sliced within the hot dog. therefore, a hot dog is not a sandwich.","undergraduate","astronomy-physics","fourth year","new york"
2024-01-18 14:22:38,"yes","merriam webster dictionary definition of sandwich","undergraduate","computer science","fourth year","virginia, united states"
2024-01-18 14:22:54,"no","if i asked for a sandwich and somebody gave me a hot dog i would be sad","undergraduate","media studies","third year","virginia"
2024-01-18 14:23:16,"no","there is only one piece of bread holding the hotdog, whereas typical sandwiches have their filling contained between two pieces of bread.","undergraduate","biomedical engineering","fourth year","ca, usa"
2024-01-18 14:23:23,"no",NA,"undergraduate","cognitive science","fourth year","maryland"
2024-01-18 14:23:41,"no",NA,"undergraduate","cs","fourth year","virginia"
2024-01-18 14:24:05,"no","no sandwhich shops sell hot dogs","undergraduate","econ","third year","virginia"
2024-01-18 14:25:03,"no","a hot dog is its own type of food","undergraduate","kinesiology","fourth year","virginia"
2024-01-18 14:26:16,"no","it simply isn't. like. be so real.","undergraduate","english and psychology","fourth year","spain technically but i am not from there. american"
2024-01-18 14:26:51,"no","sometimes people try and get to philosophical or in depth about these conversations but i am just operated off of vibes. when i think of a sandwich a hot dog does not cross my mind","undergraduate","government + philosophy","third year","virginia"
2024-01-18 14:27:17,"yes","meat between bread","undergraduate","politics","third year","maryland"
2024-01-18 14:27:56,"no","it’s one piece of bread. it’s closer to a burrito than a sandwich","undergraduate","commerce and foreign affairs","third year","oklahoma, usa"
2024-01-18 14:29:34,"no","a hot dog is considered a hot dog regardless of whether there is bread or not; the presence of bread is essential to the labeling of something as a sandwich; thus a hot dog is not a sandwich","undergraduate","psychology","fourth year","pennsylvania"
2024-01-18 14:33:41,"no","a hotdog falls into its own beautiful category. when discussing the physical nature of a sandwich, the meat and/or other fillings are completely covered top and bottom by the bread, while a hotdog has an open top. but if you are talking about the emotional aspect, then a sandwich can in no way create the joy and wonder that comes from eating a good hotdog. need i say more?","undergraduate","psychology","fourth year","virginia"
2024-01-18 14:35:29,"no","it’s in the glizzy category","undergraduate","cs","fourth year",NA
2024-01-18 14:36:31,"no","in a normal societal context nobody instinctually categorizes hotdogs into a sandwich, including me","undergraduate","cs","second year","philippines"
2024-01-18 14:36:48,"no","not a sandwich bread & also weird this is weird","undergraduate","biology","second year","virginia, usa"
2024-01-18 14:37:04,"no","it is a hot dog","undergraduate","cognitive science","second year","philippines"
2024-01-18 14:38:54,"yes","a hot dog is meat (a filling) enclosed by two distinct planes of bread. so, a sandwich. just because it uses one single piece of bread doesn't make it not a sandwich. by that logic subs aren't sandwiches when they definitely actually are","undergraduate","computer science","second year","virginia"
2024-01-18 14:39:11,"no","bread shape and meat used","undergraduate","politics","third year","brazil"
2024-01-18 14:39:17,"yes","it has meat in between 2 pieces of bread","undergraduate","bme","fourth year","massachusetts"
2024-01-18 14:43:04,"no","it’s a taco","undergraduate","chemistry","fourth year","massachusetts usa"
2024-01-18 14:43:52,"no","hot dog gets its own category","undergraduate","nursing","fourth year","illinois"
2024-01-18 14:44:35,"yes","it is basically two pieces of bread with innards between them. the bread is surrounding the innards","undergraduate","human biology","fourth year","va, usa"
2024-01-18 14:44:54,"yes","ingredients between bread","undergraduate","economics","fourth year","maryland"
2024-01-18 14:47:56,"no","i think it deserves its own category","graduate","physical therapy",NA,"virginia"
2024-01-18 14:51:24,"no","only 1 pc of bread","undergraduate","sociology","third year","new ylork"
2024-01-18 14:56:03,"yes","if other stereotypically sandwich-like fillings were put between the two pieces of bread i feel like most people would call it a sandwich. hot dog is a type of sandwich","undergraduate","physics, philosophy","third year","us"
2024-01-18 14:57:41,"no","because","graduate","freedom",NA,"usa"
2024-01-18 14:57:43,"no","hot dog has bread that is connected, while sandwiches have two slices of bread","undergraduate","computer science & cognitive science","third year","virginia, u.s."
2024-01-18 15:00:06,"yes","because you build it and it’s between 2 buns","undergraduate","media studies","fourth year","virginia"
2024-01-18 15:01:52,"yes","initially i was going to vote no and make the argument that it requires two separate pieces of bread but then i thought of subway. they don’t cut the bread all the way through but it remains a sandwich. if that requirement does not hold then a hotdog is a sandwich.","undergraduate","your mom with a minor in swag","fourth year","your mom"
2024-01-18 15:01:52,"no",NA,"undergraduate",NA,NA,NA
2024-01-18 15:05:52,"yes","it is an item i between two pieces of bread. a hot dog bun is nothing more than a sub rkll","graduate","classics and history",NA,"virginia"
2024-01-18 15:07:13,"no","there are already so many sandwiches and the vast majority of them are, generally, almost always put in that category, and they have a clearly defined difference from a hot dog, they have two slices while the hot dog has one, or two pieces that are connected.","undergraduate","middle eastern language and culture and spanish","fourth year","united kingdom"
2024-01-18 15:10:12,"no",NA,"undergraduate",NA,"fourth year","new york"
2024-01-18 15:14:42,"yes","it’s an edible substance between two pieces of bread","undergraduate","public policy","fourth year","mass"
2024-01-18 15:15:55,"yes","the main arguments against a hotdog being a sandwich are the fact that the 1) two pieces of bread are connected to each other, and 2) that the meat is in a tube shape. my rebuttal: 1) subs have the same style of bread and everyone agrees that subway sells sandwiches. 2) this just doesn’t matter to the overall structure of the food.","undergraduate","statistics, english","fourth year","virginia"
2024-01-18 15:18:33,"yes","sandwich is anything with something between bread","undergraduate","biology","second year","virginia"
2024-01-18 15:22:05,"no","i classify it as its own category","undergraduate","biology","third year","alexandria, virginia"
2024-01-18 15:30:20,"yes","i’d say a sandwich is when you have something between two pieces of bread and although the bread isn’t completely disconnected with a hot dog, the hotdog itself is in between the bun.","undergraduate","computer science","third year","va"
2024-01-18 15:31:11,"yes","contents of sandwich with bread on each side","undergraduate","neuroscience","third year","usa"
2024-01-18 15:32:37,"no","it’s not a sandwich it’s a hot dog. not everything in a roll is a sandwich.","undergraduate","biomedical engineering","fourth year","maryland"
2024-01-18 15:42:58,"no",NA,"undergraduate","math","fourth year","germany"
2024-01-18 15:44:57,"no","gut feeling","undergraduate","physics","fourth year","virginia"
2024-01-18 15:55:55,"no","when you see a hot dog what do you say? ""i could go for that sandwich over there""? no u say ""damn thats a juicy hot dog i want that"" lets not get technical about it, its a hot dog.","undergraduate","computer science","fourth year","fairfax va"
2024-01-18 16:00:11,"no","it’s a different shape it’s unique","undergraduate","comm","fourth year","va"
2024-01-18 16:05:00,"yes","fillings between bread","undergraduate","computer science","third year","virginia"
2024-01-18 16:09:50,"no","it’s a hotdog. there isn’t two pieces of bread, and it’s on a bun.","undergraduate","nursing","fourth year","germany"
2024-01-18 16:15:37,"no","at hot dog has a bun. sandwich uses bread in the form of sliced.","undergraduate","biology","third year","virginia"
2024-01-18 16:37:00,"no","it’s not a sandwich.","undergraduate","aerospace engineering","fourth year","florida"
2024-01-18 16:54:10,"no","i think a hotdog is closer to a taco than a sandwich, but i don’t really feel strongly about my opinion because i don’t particularly care","undergraduate","psychology","fourth year","pennsylvania"
2024-01-18 17:05:14,"no","the bread needs to be separate","undergraduate","econ","third year","new york"
2024-01-18 17:11:49,"yes","meat in between bread therefore a sandwich.","undergraduate","biochemistry","second year","california"
2024-01-18 17:13:39,"no","a hotdog is a unique category of food that does not fall within sandwich classification","undergraduate","undecided","first year","virginia"
2024-01-18 17:15:17,"no","nothing recognized as a sandwich (regardless of whether is surrounded by bread on two or three sides) has a uniform cylindrical meat filling in it. it doesn’t share the filling qualities of a three sided sandwich, even though it’s a protein-bread-condiment combination.","undergraduate","political and social thought","fourth year","virginia, usa"
2024-01-18 17:35:21,"no","a sandwich encloses its contents from the top and bottom. a hot dog does not.","undergraduate","interdisciplinary","fourth year","massachusetts"
2024-01-18 17:42:00,"no","it’s a hotdog. not a sandwich. sandwich has a separate top and bottom bun","undergraduate","comm","fourth year","virginia"
2024-01-18 18:18:32,"no","it is not.","undergraduate","computer science","third year","virginia"
2024-01-18 18:19:34,"yes","bread plus meat = sandwich","undergraduate","bscs","fourth year","canada"
2024-01-18 18:20:46,"no",NA,"undergraduate","computer science","fourth year","va, usa"
2024-01-18 18:24:15,"yes","bread + filing is sandwich","undergraduate","computer science","fourth year","thailand"
2024-01-18 18:27:52,"no","a sandwich is the bread on top and bottom but with a hotdog the bread is on the sides so its not a sandwich","undergraduate","computer science","fourth year","virginia"
2024-01-18 19:05:48,"no","a hot dog may be some meat between some bread, yet it’s only one continuous piece of bread and if the pork meat is in a long, cylindrical shape in between bread then it’s just a hot dog.","undergraduate","civil engineering","fourth year","virginia"
2024-01-18 19:09:07,"no","it is in bad faith to call it a sandwich, there is no reason that it can't be a category of its own given its popularity.","undergraduate","statistics","fourth year","virginia"
2024-01-18 19:50:50,"no","i subscribe to the cube rule. it’s the superior food classification system, however silly it may seem. it is logically sound.","undergraduate","computer science, math","fourth year","d.c"
2024-01-18 21:17:22,"yes","it's a piece of meat between bread","undergraduate","statistics","fourth year","united states"
2024-01-19 08:46:54,"yes","because two sides are covered with bread. even though they are connected i would consider a wrap a sandwich so i think a hot dog should be too","undergraduate","psychology and statistics","fourth year","maryland"
2024-01-19 08:49:13,"no","i feel like it’s not between two pieces of bread in the way a sub is. it’s more like it’s sitting on top layer with other toppings like a taco and it just looks like a sandwich when u squish it together too hard","undergraduate","computer science","third year","maryland, us"
2024-01-19 09:46:52,"no","i don’t know. it just feels right in my heart. i don't want it to be a sandwich and sandwiches are a made up concept anyway, so i go with what feels correct","undergraduate","urban & environmental planning","second year","massachusetts"
2024-01-19 10:36:07,"no",NA,"undergraduate","math","fourth year","pennsylvania"
2024-01-19 12:04:36,"no","its a weiner inside of a bun. not two buns stacked on condiments and poultry.","graduate","commerce - business analytics",NA,"new york city"
2024-01-19 14:06:11,"no","because if is usually eaten with the open portion facing upwards.","undergraduate","computer science","third year","maryland"
2024-01-19 14:20:40,"yes","bread meat bread","undergraduate","batten","third year","washington dc"
2024-01-19 14:30:59,"no","just doesn’t feel like one. going with my gut","undergraduate","econ & commerce","third year","ohio"
2024-01-19 14:35:50,"no","according to the chart “the cube rule of food”, a hotdog clearly falls under the category of a taco. it is covered on the bottom and sides, but not the top. a sandwich is not covered on the sides, but is covered on the top and bottom. therefore, a hotdog is not a sandwich but a taco.","undergraduate","foreign affairs and arabic language","third year","virginia"
2024-01-19 15:14:28,"no","the orientation of the item","undergraduate","commerce","fourth year","virginia"
2024-01-19 15:16:05,"yes","it's in between two buns.","undergraduate","computer science","fourth year","us"
2024-01-19 16:13:26,"yes","it's a piece of meat in between bread.","undergraduate","media studies","fourth year","united states"
2024-01-19 22:26:58,"yes","bun is the same shape as a sub roll","undergraduate","mechanical engineering","third year","virginia"
2024-01-20 07:52:16,"no","free young thug","undergraduate","computer science + sociology","first year","washington d.c"
2024-01-21 00:18:26,"yes","we consider other foods with similar bread shapes a sandwich. such as subs or banh mi.","undergraduate","computer science","fourth year","united states"
2024-01-21 18:28:15,"no",NA,"undergraduate","chinese language & literature","fourth year","united states"
2024-01-21 21:44:00,"no",NA,"undergraduate",NA,NA,NA
2024-01-22 16:16:43,"yes","a sandwich is ""an item of food consisting of two pieces of bread with meat, cheese, or other filling between them, eaten as a light meal."" and a hotdog satisfies this criteria.","undergraduate","computer science","fourth year","va"
2024-01-22 19:33:29,"yes","it is a combination of bread and some sort of meat/veggies","undergraduate","econ","fourth year","india"
2024-01-22 20:10:44,"yes","the hotdog is in between bread.","undergraduate",NA,"fourth year",NA
2024-01-22 20:56:27,"yes","it is covered by two pieces of bread which are partially or fully separated, and is horizontal in presentation","undergraduate","biology","fourth year","virginia usa"
