Timestamp,What year are you in?,Is hotdog a sandwich?
8/29/2025 18:33:41,1,No
8/29/2025 18:34:19,1,No
8/29/2025 18:35:01,1,No
8/29/2025 19:09:18,1,No
8/29/2025 19:11:50,1,No
8/31/2025 15:43:50,1,No
8/31/2025 17:05:20,1,No
9/1/2025 10:31:02,1,No
8/29/2025 18:34:49,2,No
8/29/2025 18:44:09,2,No
8/29/2025 20:17:40,2,Yes
8/29/2025 23:09:37,2,Yes
8/30/2025 18:24:34,2,No
8/30/2025 19:37:44,2,No
8/31/2025 9:56:05,2,No
8/31/2025 10:03:08,2,Yes
8/31/2025 10:04:54,2,No
8/31/2025 10:22:22,2,No
8/31/2025 10:24:18,2,No
8/31/2025 11:03:50,2,No
8/31/2025 11:06:05,2,No
8/31/2025 11:11:36,2,Yes
8/31/2025 11:30:54,2,No
8/31/2025 11:53:55,2,No
8/31/2025 12:00:43,2,No
8/31/2025 13:22:56,2,No
8/31/2025 14:18:08,2,No
8/31/2025 14:30:15,2,No
8/31/2025 14:44:03,2,No
8/31/2025 15:43:50,2,No
8/31/2025 15:45:03,2,Yes
8/31/2025 15:45:38,2,No
8/31/2025 15:47:34,2,No
8/31/2025 17:29:17,2,Yes
8/31/2025 18:18:14,2,No
8/31/2025 22:12:19,2,No
9/1/2025 3:21:39,2,No
9/1/2025 10:06:17,2,Yes
9/1/2025 10:06:58,2,No
9/1/2025 10:07:28,2,No
9/1/2025 10:09:55,2,Yes
9/1/2025 10:12:16,2,No
9/1/2025 10:23:27,2,No
9/1/2025 10:30:42,2,Yes
9/1/2025 10:37:06,2,No
9/1/2025 10:57:07,2,No
9/1/2025 11:51:13,2,No
9/1/2025 12:18:41,2,Yes
8/29/2025 18:33:08,3,Yes
8/29/2025 18:33:29,3,Yes
8/29/2025 19:28:00,3,No
8/29/2025 19:32:56,3,Yes
8/30/2025 18:25:30,3,Yes
8/31/2025 9:56:01,3,No
8/31/2025 9:56:05,3,No
8/31/2025 9:57:38,3,No
8/31/2025 10:02:42,3,No
8/31/2025 10:02:48,3,No
8/31/2025 10:06:31,3,No
8/31/2025 10:12:53,3,No
8/31/2025 10:44:50,3,No
8/31/2025 11:30:59,3,No
8/31/2025 11:51:14,3,No
8/31/2025 11:51:16,3,No
8/31/2025 12:04:11,3,Yes
8/31/2025 12:22:31,3,No
8/31/2025 13:14:42,3,No
8/31/2025 13:25:33,3,No
8/31/2025 14:13:50,3,Yes
8/31/2025 14:18:16,3,Yes
8/31/2025 14:21:10,3,No
8/31/2025 14:25:24,3,Yes
8/31/2025 14:31:01,3,No
8/31/2025 14:54:06,3,Yes
8/31/2025 15:44:17,3,No
8/31/2025 15:45:59,3,No
8/31/2025 15:46:28,3,No
8/31/2025 15:52:46,3,No
8/31/2025 16:08:29,3,No
8/31/2025 16:09:17,3,Yes
8/31/2025 16:13:45,3,No
8/31/2025 17:44:06,3,No
8/31/2025 20:58:48,3,No
8/31/2025 22:07:39,3,No
9/1/2025 0:44:17,3,No
9/1/2025 10:05:43,3,No
9/1/2025 10:07:19,3,No
9/1/2025 10:30:47,3,No
9/1/2025 10:30:54,3,Yes
9/1/2025 10:47:27,3,No
9/1/2025 11:26:21,3,No
9/1/2025 11:52:36,3,No
9/1/2025 12:13:56,3,No
8/29/2025 17:17:57,4,Yes
8/29/2025 18:33:08,4,Yes
8/29/2025 19:33:27,4,No
8/29/2025 22:07:14,4,Yes
8/30/2025 14:32:39,4,No
8/30/2025 18:20:38,4,Yes
8/30/2025 20:10:19,4,Yes
8/30/2025 21:57:42,4,No
8/31/2025 8:22:32,4,No
8/31/2025 9:56:03,4,No
8/31/2025 9:56:52,4,No
8/31/2025 10:02:13,4,No
8/31/2025 10:03:21,4,No
8/31/2025 10:04:25,4,No
8/31/2025 10:09:52,4,No
8/31/2025 10:15:13,4,No
8/31/2025 10:17:16,4,No
8/31/2025 10:41:18,4,No
8/31/2025 10:44:28,4,No
8/31/2025 10:46:36,4,Yes
8/31/2025 10:50:08,4,No
8/31/2025 10:58:28,4,No
8/31/2025 10:59:02,4,No
8/31/2025 11:07:33,4,No
8/31/2025 11:10:35,4,No
8/31/2025 11:11:06,4,No
8/31/2025 11:13:00,4,No
8/31/2025 11:30:20,4,No
8/31/2025 11:31:24,4,Yes
8/31/2025 11:49:53,4,No
8/31/2025 11:50:39,4,No
8/31/2025 11:51:09,4,No
8/31/2025 11:51:09,4,Yes
8/31/2025 12:25:05,4,No
8/31/2025 12:30:10,4,No
8/31/2025 13:10:25,4,Yes
8/31/2025 13:12:20,4,Yes
8/31/2025 13:12:56,4,Yes
8/31/2025 13:50:23,4,Yes
8/31/2025 14:18:47,4,No
8/31/2025 14:19:42,4,No
8/31/2025 14:54:17,4,No
8/31/2025 15:23:30,4,No
8/31/2025 15:40:13,4,Yes
8/31/2025 15:43:19,4,No
8/31/2025 15:46:27,4,Yes
8/31/2025 15:46:55,4,Yes
8/31/2025 15:47:16,4,No
8/31/2025 15:49:19,4,No
8/31/2025 15:58:43,4,No
8/31/2025 16:15:41,4,No
8/31/2025 16:43:22,4,Yes
8/31/2025 16:43:25,4,Yes
8/31/2025 17:00:50,4,Yes
8/31/2025 17:01:03,4,No
8/31/2025 17:23:14,4,Yes
8/31/2025 17:38:19,4,Yes
8/31/2025 17:47:08,4,No
8/31/2025 17:50:22,4,Yes
8/31/2025 18:09:27,4,No
8/31/2025 18:09:29,4,No
8/31/2025 18:09:32,4,No
8/31/2025 18:30:25,4,No
8/31/2025 18:44:49,4,Yes
8/31/2025 19:03:31,4,No
8/31/2025 19:04:20,4,No
8/31/2025 19:30:36,4,No
8/31/2025 19:50:53,4,No
8/31/2025 20:51:18,4,Yes
8/31/2025 21:06:04,4,No
8/31/2025 21:06:12,4,No
8/31/2025 21:21:52,4,No
8/31/2025 21:26:36,4,No
8/31/2025 21:44:08,4,No
8/31/2025 22:21:53,4,No
8/31/2025 22:24:42,4,Yes
8/31/2025 22:32:08,4,No
8/31/2025 22:33:11,4,No
8/31/2025 22:41:58,4,Yes
8/31/2025 23:04:46,4,No
8/31/2025 23:06:20,4,No
8/31/2025 23:06:48,4,Yes
8/31/2025 23:06:58,4,No
8/31/2025 23:08:19,4,No
8/31/2025 23:09:03,4,No
8/31/2025 23:11:27,4,Yes
8/31/2025 23:12:23,4,Yes
8/31/2025 23:14:30,4,No
8/31/2025 23:32:42,4,No
8/31/2025 23:35:29,4,No
8/31/2025 23:47:06,4,Yes
9/1/2025 0:46:48,4,No
9/1/2025 0:50:56,4,Yes
9/1/2025 1:11:31,4,No
9/1/2025 7:26:38,4,No
9/1/2025 8:58:49,4,No
9/1/2025 9:00:50,4,Yes
9/1/2025 10:22:43,4,Yes
9/1/2025 10:22:49,4,No
9/1/2025 10:28:41,4,No
9/1/2025 10:30:58,4,No
9/1/2025 10:36:03,4,No
9/1/2025 10:55:25,4,No
9/1/2025 10:56:44,4,No
9/1/2025 11:28:56,4,No
9/1/2025 11:31:09,4,No
9/1/2025 11:44:45,4,Yes
9/1/2025 11:50:49,4,No
9/1/2025 11:56:12,4,No
9/1/2025 12:07:37,4,No
9/1/2025 12:10:15,4,Yes
9/1/2025 12:11:24,4,No
9/1/2025 12:18:07,4,Yes
9/1/2025 12:18:42,4,Yes
